case_id,system_id,source_campaign,initial_bpr,bpr_iter_1,bpr_iter_2,bpr_iter_3,final_bpr,best_bpr,best_iteration,delta_best_vs_initial,improved_any,regressed_any,complete_repair_any,effective_repair_any,first_improvement_iteration,dominant_failure_class,iterations_attempted,iterations_scored
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,access_control,c2_core_ollama_behavioral,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r03,access_control,c2_core_ollama_behavioral,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r04,access_control,c2_core_ollama_behavioral,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r05,access_control,c2_core_ollama_behavioral,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r04,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r05,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.5882352941176471,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,elevator,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,elevator,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,elevator,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r04,elevator,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r05,elevator,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01,package_locker,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r02,package_locker,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r03,package_locker,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r04,package_locker,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r05,package_locker,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,other_patch_application_failure,3,4
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,,3,4
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,other_patch_application_failure,3,4
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r04,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,other_patch_application_failure,3,4
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r05,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0,0.0,False,False,False,False,,other_patch_application_failure,3,4
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,train_ticket_booking,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,train_ticket_booking,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r03,train_ticket_booking,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r04,train_ticket_booking,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r05,train_ticket_booking,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01,warehouse_inventory,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,warehouse_inventory,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03,warehouse_inventory,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r04,warehouse_inventory,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r05,warehouse_inventory,c2_core_ollama_behavioral,0.25,0.25,0.25,0.25,0.25,0.25,0,0.0,False,False,False,False,,invalid_patch_schema,3,4
