case_id,system_id,source_campaign,initial_bpr,best_model,gemma9b_improved_any,gemma9b_delta_best_vs_initial,gemma9b_best_bpr,gemma9b_dominant_failure_class,llama8b_improved_any,llama8b_delta_best_vs_initial,llama8b_best_bpr,llama8b_dominant_failure_class,mistral12b_improved_any,mistral12b_delta_best_vs_initial,mistral12b_best_bpr,mistral12b_dominant_failure_class,qwen14b_improved_any,qwen14b_delta_best_vs_initial,qwen14b_best_bpr,qwen14b_dominant_failure_class,qwen32b_improved_any,qwen32b_delta_best_vs_initial,qwen32b_best_bpr,qwen32b_dominant_failure_class,qwen7b_improved_any,qwen7b_delta_best_vs_initial,qwen7b_best_bpr,qwen7b_dominant_failure_class,any_model_improved
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r01,access_control,c2_core_ollama_behavioral,0.8333333333333334,gemma9b,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,missing_transition_to_remove,False
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r02,access_control,c2_core_ollama_behavioral,0.8333333333333334,gemma9b,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,duplicate_transition,False
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r03,access_control,c2_core_ollama_behavioral,0.8333333333333334,gemma9b,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,missing_transition_to_remove,False
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r04,access_control,c2_core_ollama_behavioral,0.8333333333333334,gemma9b,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,missing_transition_to_remove,False
repair__c2_core_ollama_behavioral__access_control__qwen2_5_coder_7b__r05,access_control,c2_core_ollama_behavioral,0.8333333333333334,gemma9b,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,invalid_patch_schema,False,0.0,0.8333333333333334,,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,empty_patch,False,0.0,0.8333333333333334,missing_transition_to_remove,False
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r01,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,qwen7b,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,True,0.11764705882352944,0.7058823529411765,,True
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r02,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,qwen7b,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,True,0.11764705882352944,0.7058823529411765,missing_transition_to_remove,True
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r03,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,qwen7b,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,True,0.11764705882352944,0.7058823529411765,duplicate_transition,True
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r04,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,gemma9b,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False
repair__c2_core_ollama_behavioral__bike_rental__qwen2_5_coder_7b__r05,bike_rental,c2_core_ollama_behavioral,0.5882352941176471,gemma9b,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,invalid_patch_schema,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False,0.0,0.5882352941176471,empty_patch,False
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r01,elevator,c2_core_ollama_behavioral,0.25,qwen14b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,self_loop_rejected,True,0.5,0.75,,False,0.0,0.25,empty_patch,False,0.0,0.25,empty_patch,True
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r02,elevator,c2_core_ollama_behavioral,0.25,qwen14b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,True,0.5,0.75,,False,0.0,0.25,empty_patch,False,0.0,0.25,empty_patch,True
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r03,elevator,c2_core_ollama_behavioral,0.25,qwen14b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,True,0.5,0.75,,False,0.0,0.25,empty_patch,False,0.0,0.25,empty_patch,True
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r04,elevator,c2_core_ollama_behavioral,0.25,qwen14b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,True,0.5,0.75,,False,0.0,0.25,empty_patch,False,0.0,0.25,empty_patch,True
repair__c2_core_ollama_behavioral__elevator__qwen2_5_coder_7b__r05,elevator,c2_core_ollama_behavioral,0.25,qwen14b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,self_loop_rejected,True,0.5,0.75,,False,0.0,0.25,empty_patch,False,0.0,0.25,empty_patch,True
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r01,package_locker,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r02,package_locker,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r03,package_locker,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r04,package_locker,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,missing_state,False
repair__c2_core_ollama_behavioral__package_locker__qwen2_5_coder_7b__r05,package_locker,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r01,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,gemma9b,False,0.0,0.23529411764705882,other_patch_application_failure,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,update_no_change,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False,0.0,0.23529411764705882,empty_patch,False
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r02,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,qwen32b,False,0.0,0.23529411764705882,,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,update_no_change,False,0.0,0.23529411764705882,empty_patch,True,0.411764705882353,0.6470588235294118,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,True
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r03,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,qwen32b,False,0.0,0.23529411764705882,other_patch_application_failure,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,update_no_change,False,0.0,0.23529411764705882,empty_patch,True,0.411764705882353,0.6470588235294118,update_no_change,False,0.0,0.23529411764705882,empty_patch,True
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r04,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,qwen32b,False,0.0,0.23529411764705882,other_patch_application_failure,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,update_no_change,False,0.0,0.23529411764705882,empty_patch,True,0.411764705882353,0.6470588235294118,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,True
repair__c2_core_ollama_behavioral__parking_gate__qwen2_5_coder_7b__r05,parking_gate,c2_core_ollama_behavioral,0.23529411764705882,qwen32b,False,0.0,0.23529411764705882,other_patch_application_failure,False,0.0,0.23529411764705882,invalid_patch_schema,False,0.0,0.23529411764705882,update_no_change,False,0.0,0.23529411764705882,empty_patch,True,0.411764705882353,0.6470588235294118,duplicate_transition,False,0.0,0.23529411764705882,empty_patch,True
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r01,train_ticket_booking,c2_core_ollama_behavioral,0.25,gemma9b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r02,train_ticket_booking,c2_core_ollama_behavioral,0.25,gemma9b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r03,train_ticket_booking,c2_core_ollama_behavioral,0.25,gemma9b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,empty_patch,False,0.0,0.25,duplicate_transition,False
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r04,train_ticket_booking,c2_core_ollama_behavioral,0.25,gemma9b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,empty_patch,False,0.0,0.25,duplicate_transition,False
repair__c2_core_ollama_behavioral__train_ticket_booking__qwen2_5_coder_7b__r05,train_ticket_booking,c2_core_ollama_behavioral,0.25,gemma9b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,duplicate_transition,False,0.0,0.25,duplicate_transition,False,0.0,0.25,empty_patch,False,0.0,0.25,duplicate_transition,False
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r01,warehouse_inventory,c2_core_ollama_behavioral,0.25,qwen32b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,missing_transition_to_remove,False,0.0,0.25,empty_patch,True,0.625,0.875,duplicate_transition,False,0.0,0.25,duplicate_transition,True
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r02,warehouse_inventory,c2_core_ollama_behavioral,0.25,qwen32b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,False,0.0,0.25,empty_patch,True,0.625,0.875,duplicate_transition,False,0.0,0.25,duplicate_transition,True
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r03,warehouse_inventory,c2_core_ollama_behavioral,0.25,qwen32b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,False,0.0,0.25,empty_patch,True,0.625,0.875,duplicate_transition,False,0.0,0.25,duplicate_transition,True
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r04,warehouse_inventory,c2_core_ollama_behavioral,0.25,qwen32b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,False,0.0,0.25,empty_patch,True,0.625,0.875,duplicate_transition,False,0.0,0.25,duplicate_transition,True
repair__c2_core_ollama_behavioral__warehouse_inventory__qwen2_5_coder_7b__r05,warehouse_inventory,c2_core_ollama_behavioral,0.25,qwen32b,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,invalid_patch_schema,False,0.0,0.25,other_patch_application_failure,False,0.0,0.25,empty_patch,True,0.5,0.75,duplicate_transition,False,0.0,0.25,duplicate_transition,True
